Timespace,AQI,hour,day,month
2025-06-28 21:13:17,112,21,Saturday,6
2025-06-28 21:28:17,113,21,Saturday,6
2025-06-28 21:43:16,113,21,Saturday,6
2025-06-28 21:58:16,113,21,Saturday,6
2025-06-28 22:13:16,116,22,Saturday,6
2025-06-28 22:28:17,133,22,Saturday,6
2025-06-28 22:43:16,133,22,Saturday,6
2025-06-28 22:58:16,133,22,Saturday,6
2025-06-28 23:13:17,108,23,Saturday,6
2025-06-28 23:28:17,115,23,Saturday,6
2025-06-28 23:43:16,115,23,Saturday,6
2025-06-28 23:58:17,115,23,Saturday,6
2025-06-29 00:13:16,101,0,Sunday,6
2025-06-29 00:28:17,92,0,Sunday,6
2025-06-29 00:43:16,92,0,Sunday,6
2025-06-29 00:58:17,92,0,Sunday,6
2025-06-29 01:13:16,89,1,Sunday,6
2025-06-29 01:28:16,90,1,Sunday,6
2025-06-29 01:43:16,90,1,Sunday,6
2025-06-29 01:58:16,90,1,Sunday,6
2025-06-29 02:13:16,85,2,Sunday,6
2025-06-29 02:28:17,82,2,Sunday,6
2025-06-29 02:43:16,82,2,Sunday,6
2025-06-29 02:58:16,82,2,Sunday,6
2025-06-29 03:13:16,68,3,Sunday,6
2025-06-29 03:28:16,79,3,Sunday,6
2025-06-29 03:43:16,79,3,Sunday,6
2025-06-29 03:58:16,79,3,Sunday,6
2025-06-29 04:13:17,72,4,Sunday,6
2025-06-29 04:28:16,69,4,Sunday,6
2025-06-29 04:43:16,69,4,Sunday,6
2025-06-29 04:58:16,69,4,Sunday,6
2025-06-29 05:13:16,69,5,Sunday,6
2025-06-29 05:28:16,69,5,Sunday,6
2025-06-29 05:43:17,69,5,Sunday,6
2025-06-29 05:58:17,69,5,Sunday,6
2025-06-29 06:13:16,79,6,Sunday,6
2025-06-29 06:28:16,71,6,Sunday,6
2025-06-29 06:43:16,71,6,Sunday,6
2025-06-29 06:58:16,71,6,Sunday,6
2025-06-29 07:13:16,79,7,Sunday,6
2025-06-29 07:28:16,69,7,Sunday,6
2025-06-29 07:43:16,69,7,Sunday,6
2025-06-29 07:58:17,69,7,Sunday,6
2025-06-29 08:13:16,68,8,Sunday,6
2025-06-29 08:28:17,68,8,Sunday,6
2025-06-29 08:43:16,68,8,Sunday,6
2025-06-29 08:58:17,68,8,Sunday,6
2025-06-29 09:13:16,57,9,Sunday,6
2025-06-29 09:28:16,62,9,Sunday,6
2025-06-29 09:43:16,62,9,Sunday,6
2025-06-29 09:58:16,62,9,Sunday,6
2025-06-29 10:13:17,60,10,Sunday,6
2025-06-29 10:28:16,60,10,Sunday,6
2025-06-29 10:43:16,60,10,Sunday,6
2025-06-29 10:58:16,60,10,Sunday,6
2025-06-29 11:13:16,56,11,Sunday,6
2025-06-29 11:28:16,58,11,Sunday,6
